Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
17.11.2020 00:30;3;4;5;-;8;0;0.0;10.0;1013;0.0;78.2;4;16;0.3;0.20;5;11
17.11.2020 00:33;3;4;5;-;8;0;0.0;9.9;1013;0.0;78.4;4;16;0.3;0.20;6;16
17.11.2020 00:36;3;4;5;-;8;0;0.0;9.9;1013;0.0;78.6;4;16;0.3;0.20;1;8
17.11.2020 00:39;3;4;5;-;8;0;0.0;9.8;1013;0.0;78.9;5;18;0.4;0.19;2;8
17.11.2020 00:42;3;4;5;-;8;0;0.0;9.8;1013;0.0;79.2;5;18;0.3;0.20;1;6
17.11.2020 00:45;3;4;5;-;7;0;0.0;9.7;1013;0.0;79.4;4;18;0.3;0.19;1;6
17.11.2020 00:48;3;4;5;-;8;0;0.0;9.7;1013;0.0;79.6;5;17;0.3;0.20;2;8
17.11.2020 00:51;3;5;5;-;7;0;0.0;9.7;1013;0.0;79.7;5;18;0.3;0.19;2;7
17.11.2020 00:54;3;4;5;-;7;0;0.0;9.7;1013;0.0;79.8;5;18;0.3;0.20;7;13
17.11.2020 00:57;3;4;5;-;7;0;0.0;9.6;1013;0.0;79.9;5;18;0.3;0.19;1;7
17.11.2020 01:00;3;4;5;-;7;0;0.0;9.5;1013;0.0;80.1;5;18;0.3;0.20;3;9
17.11.2020 01:03;3;4;5;-;7;0;0.0;9.5;1013;0.0;80.3;5;19;0.3;0.24;2;14
17.11.2020 01:06;3;4;5;-;8;0;0.0;9.5;1013;0.0;80.4;5;21;0.4;0.30;2;10
17.11.2020 01:09;3;5;5;-;8;0;0.0;9.4;1013;0.0;80.5;5;21;0.5;0.28;1;9
17.11.2020 01:12;3;5;6;-;8;0;0.1;9.4;1013;0.0;80.7;5;18;0.4;0.20;1;10
17.11.2020 01:15;4;5;6;-;9;312;0.3;9.4;1013;0.0;80.8;5;18;0.3;0.20;1;8
17.11.2020 01:18;4;4;6;-;9;307;0.4;9.3;1013;0.0;80.9;5;19;0.2;0.20;2;12
17.11.2020 01:21;4;4;6;-;9;306;0.3;9.3;1013;0.0;80.9;5;19;0.3;0.20;1;11
17.11.2020 01:24;4;4;6;-;10;303;0.4;9.3;1014;0.0;81.0;5;19;0.3;0.20;1;9
17.11.2020 01:27;4;5;6;-;11;300;0.4;9.3;1014;0.0;81.1;5;19;0.4;0.21;2;12
17.11.2020 01:30;4;5;6;-;10;299;0.4;9.3;1014;0.0;81.1;5;19;0.4;0.25;2;11
17.11.2020 01:33;4;5;6;-;10;348;0.1;9.3;1013;0.0;81.1;5;19;0.4;0.23;1;8
17.11.2020 01:36;4;5;6;-;10;0;0.0;9.3;1013;0.0;81.1;5;19;0.4;0.23;0;8
17.11.2020 01:39;4;5;6;-;9;0;0.0;9.3;1013;0.0;81.0;5;19;0.3;0.24;7;13
17.11.2020 01:42;4;5;6;-;9;0;0.0;9.4;1013;0.0;81.0;5;20;1.2;0.38;43;30
17.11.2020 01:45;4;5;6;-;9;0;0.0;9.4;1013;0.0;80.9;5;19;1.7;0.29;10;23
17.11.2020 01:48;4;5;6;-;9;313;0.1;9.4;1013;0.0;80.9;5;19;0.8;0.25;2;16
17.11.2020 01:51;4;5;6;-;9;204;0.3;9.5;1013;0.0;80.9;5;19;0.7;0.24;1;15
17.11.2020 01:54;4;5;6;-;9;237;0.3;9.5;1013;0.0;80.9;5;20;0.6;0.24;3;9
17.11.2020 01:57;4;6;6;-;9;254;0.4;9.4;1013;0.0;81.0;5;21;0.7;4.73;3;-1
17.11.2020 02:00;4;5;6;-;10;261;0.3;9.4;1013;0.0;81.1;5;20;0.6;25.62;14;12
17.11.2020 02:03;4;6;6;-;10;344;0.1;9.3;1013;0.0;81.3;5;20;0.5;0.22;290;433
17.11.2020 02:06;4;6;6;-;11;0;0.0;9.2;1013;0.0;81.5;5;21;0.4;0.22;303;472
17.11.2020 02:09;4;6;7;-;11;0;0.0;9.2;1013;0.0;81.8;5;20;0.4;0.20;38;74
17.11.2020 02:12;4;6;7;-;10;0;0.0;9.3;1013;0.0;81.9;5;20;0.4;0.19;3;18
17.11.2020 02:15;4;6;7;-;10;0;0.0;9.4;1013;0.0;82.0;5;20;0.5;0.20;9;28
17.11.2020 02:18;4;5;7;-;11;0;0.0;9.5;1013;0.0;81.9;5;19;0.5;0.20;5;24
17.11.2020 02:21;4;5;7;-;10;359;0.0;9.5;1013;0.0;81.8;5;19;0.5;0.19;3;14
17.11.2020 02:24;4;5;7;-;10;187;0.0;9.5;1013;0.0;81.8;5;19;0.5;0.21;25;32
17.11.2020 02:27;4;5;7;-;10;187;0.0;9.5;1014;0.0;81.8;5;19;0.5;0.20;10;21
17.11.2020 02:30;4;5;7;-;9;0;0.0;9.5;1014;0.0;81.9;5;19;0.4;0.21;3;15
17.11.2020 02:33;4;5;6;-;10;0;0.0;9.4;1014;0.0;81.9;5;20;0.5;0.24;10;26
17.11.2020 02:36;4;5;6;-;10;0;0.0;9.4;1014;0.0;82.0;5;19;0.5;0.22;3;20
17.11.2020 02:39;4;5;6;-;10;195;0.0;9.3;1014;0.0;82.1;5;20;0.5;0.22;2;20
17.11.2020 02:42;4;5;6;-;10;347;0.0;9.3;1014;0.0;82.3;5;20;0.5;0.22;2;20
17.11.2020 02:45;4;5;6;-;10;181;0.2;9.3;1014;0.0;82.5;5;20;0.5;0.22;3;19
17.11.2020 02:48;4;5;6;-;10;180;0.3;9.3;1014;0.0;82.7;5;20;0.5;0.22;5;22
17.11.2020 02:51;4;5;7;-;11;181;0.4;9.4;1014;0.0;82.8;5;21;0.6;0.22;5;21
17.11.2020 02:54;4;5;7;-;11;182;0.3;9.4;1014;0.0;82.9;5;20;0.5;0.21;2;21
17.11.2020 02:57;4;5;7;-;10;174;0.1;9.4;1014;0.0;82.9;5;21;0.5;0.21;2;22
17.11.2020 03:00;4;5;7;-;11;140;0.0;9.4;1013;0.0;82.9;5;21;0.5;0.22;4;22
17.11.2020 03:03;4;5;7;-;11;147;0.0;9.4;1013;0.0;82.9;5;21;0.6;0.32;20;25
17.11.2020 03:06;4;5;7;-;10;0;0.0;9.4;1013;0.0;82.9;#;#;#;#;#;#
17.11.2020 03:09;4;5;7;-;10;0;0.0;9.4;1013;0.0;82.8;5;21;0.6;0.32;17;30
17.11.2020 03:12;4;5;7;-;10;0;0.0;9.5;1013;0.0;82.7;5;21;0.6;0.28;10;30
17.11.2020 03:15;4;5;7;-;10;0;0.0;9.5;1013;0.0;82.7;6;22;0.6;0.24;7;28
17.11.2020 03:18;4;5;7;-;9;0;0.0;9.5;1013;0.0;82.7;6;22;0.6;0.24;7;29
17.11.2020 03:21;4;5;7;-;9;0;0.0;9.6;1013;0.0;82.7;6;22;0.6;0.23;4;27
17.11.2020 03:24;4;5;7;-;10;0;0.0;9.6;1013;0.0;82.7;6;23;0.6;0.23;4;30
17.11.2020 03:27;4;5;7;-;10;158;0.2;9.7;1013;0.0;82.7;5;23;0.6;0.23;2;29
17.11.2020 03:30;4;5;7;-;10;161;0.3;9.7;1013;0.0;82.6;6;24;0.8;0.56;3;21
17.11.2020 03:33;5;5;7;-;11;159;0.3;9.8;1013;0.0;82.6;6;24;1.5;0.42;3;22
17.11.2020 03:36;5;5;7;-;11;0;0.0;9.8;1013;0.0;82.5;6;23;0.9;0.29;2;23
17.11.2020 03:39;5;5;8;-;11;0;0.0;9.8;1013;0.0;82.4;6;23;0.8;0.26;2;26
17.11.2020 03:42;5;5;7;-;10;0;0.0;9.9;1013;0.0;82.2;6;22;0.7;0.25;4;26
17.11.2020 03:45;5;6;7;-;10;0;0.0;9.9;1013;0.0;82.1;6;22;0.7;0.22;12;25
17.11.2020 03:48;5;5;7;-;10;0;0.0;10.0;1013;0.0;81.9;5;21;0.5;0.20;2;11
17.11.2020 03:51;5;5;7;-;10;0;0.0;10.0;1013;0.0;81.8;5;21;0.3;0.20;2;9
17.11.2020 03:54;5;5;7;-;10;0;0.1;10.0;1013;0.0;81.8;5;21;0.4;0.20;3;11
17.11.2020 03:57;5;6;7;-;10;0;0.1;10.1;1013;0.0;81.8;5;20;0.4;0.20;3;10
17.11.2020 04:00;5;6;7;-;10;0;0.0;10.1;1013;0.0;81.7;5;20;0.4;0.21;2;11
17.11.2020 04:03;5;6;7;-;10;0;0.0;10.1;1013;0.0;81.6;5;20;0.3;0.20;0;6
17.11.2020 04:06;5;6;7;-;10;333;0.3;10.1;1013;0.0;81.5;5;20;0.3;0.20;3;9
17.11.2020 04:09;5;6;7;-;10;290;0.4;10.1;1013;0.0;81.5;5;20;0.3;0.21;1;8
17.11.2020 04:12;5;6;7;-;11;299;0.4;10.1;1013;0.0;81.4;5;19;0.3;0.21;1;7
17.11.2020 04:15;5;7;7;-;11;299;0.4;10.1;1014;0.0;81.4;5;19;0.3;0.20;3;9
17.11.2020 04:18;5;7;7;-;11;297;0.4;10.1;1014;0.0;81.2;5;19;0.3;0.21;2;9
17.11.2020 04:21;5;7;7;-;11;298;0.4;10.1;1014;0.0;81.1;5;20;0.3;0.21;4;12
17.11.2020 04:24;5;7;7;-;10;0;0.3;10.1;1014;0.0;81.0;5;20;0.5;0.22;8;13
17.11.2020 04:27;5;7;7;-;10;314;0.3;10.2;1014;0.0;80.8;5;20;0.4;0.22;12;17
17.11.2020 04:30;5;6;7;-;10;321;0.3;10.2;1014;0.0;80.7;5;20;0.3;0.22;4;13
17.11.2020 04:33;5;6;7;-;10;0;0.1;10.2;1014;0.0;80.5;5;19;0.3;0.22;2;11
17.11.2020 04:36;5;6;7;-;10;0;0.0;10.2;1014;0.0;80.4;5;19;0.2;0.23;1;8
17.11.2020 04:39;5;6;7;-;10;0;0.0;10.2;1014;0.0;80.2;5;19;0.2;0.22;2;10
17.11.2020 04:42;5;6;7;-;10;0;0.3;10.3;1014;0.0;80.0;5;19;0.5;0.22;2;13
17.11.2020 04:45;5;6;7;-;10;332;0.3;10.3;1014;0.0;79.9;5;19;1.2;0.22;3;13
17.11.2020 04:48;5;6;7;-;10;315;0.4;10.3;1014;0.0;79.8;5;19;0.4;0.23;2;10
17.11.2020 04:51;5;7;7;-;10;313;0.4;10.3;1014;0.0;79.8;5;19;0.3;0.23;1;10
17.11.2020 04:54;5;6;7;-;11;312;0.4;10.4;1014;0.0;79.7;5;19;0.3;0.23;4;13
17.11.2020 04:57;5;6;7;-;11;307;0.4;10.4;1014;0.0;79.6;5;18;0.3;0.22;1;11
17.11.2020 05:00;5;6;7;-;11;302;0.3;10.4;1014;0.0;79.5;5;18;0.3;0.22;3;11
17.11.2020 05:03;5;7;7;-;11;294;0.3;10.3;1014;0.0;79.4;4;18;0.3;0.22;3;15
17.11.2020 05:06;5;7;7;-;11;294;0.4;10.3;1014;0.0;79.4;4;18;0.3;0.22;6;16
17.11.2020 05:09;5;7;7;-;10;295;0.4;10.2;1014;0.0;79.4;4;18;0.4;0.21;6;18
17.11.2020 05:12;5;7;7;-;10;299;0.4;10.2;1014;0.0;79.5;4;18;0.4;0.23;1;12
17.11.2020 05:15;5;7;7;-;10;302;0.4;10.1;1014;0.0;79.6;4;18;0.4;0.27;6;17
17.11.2020 05:18;5;7;7;-;10;303;0.3;10.1;1014;0.0;79.7;4;19;0.3;0.24;2;14
17.11.2020 05:21;5;7;7;-;11;311;0.3;10.1;1014;0.0;79.8;5;19;0.4;0.23;14;25
17.11.2020 05:24;5;7;7;-;11;320;0.3;10.1;1014;0.0;79.9;5;19;0.3;0.24;6;20
17.11.2020 05:27;5;7;8;-;11;326;0.3;10.2;1014;0.0;79.9;5;19;0.3;0.27;8;18
17.11.2020 05:30;5;7;8;-;11;317;0.3;10.2;1014;0.0;79.9;5;20;0.3;0.35;6;21
17.11.2020 05:33;5;7;8;-;11;313;0.4;10.2;1014;0.0;79.9;5;20;0.4;0.27;9;19
17.11.2020 05:36;5;7;8;-;11;315;0.4;10.2;1014;0.0;79.9;5;21;0.7;0.30;20;31
17.11.2020 05:39;5;7;8;-;10;320;0.4;10.2;1014;0.0;79.9;5;19;0.7;0.28;5;22
17.11.2020 05:42;5;8;8;-;10;321;0.4;10.2;1014;0.0;79.9;5;19;0.5;0.35;30;29
