Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
26.02.2021 00:30;14;28;36;87;98;0;0,0;8,2;1017;0,0;69,0;30;99;2,9;0,65;65;43
26.02.2021 00:33;15;28;36;87;96;200;0,0;8,2;1017;0,0;69,2;29;98;2,6;0,59;64;46
26.02.2021 00:36;15;28;35;87;93;199;0,0;8,2;1017;0,0;69,6;28;95;2,6;0,55;49;44
26.02.2021 00:39;15;28;35;86;92;200;0,0;8,1;1017;0,0;70,0;28;95;2,7;0,54;51;45
26.02.2021 00:42;15;28;35;87;92;201;0,2;8,1;1017;0,0;70,4;28;90;2,4;0,56;55;44
26.02.2021 00:45;15;28;35;86;91;204;0,3;8,0;1017;0,0;71,0;29;93;2,5;0,57;62;45
26.02.2021 00:48;15;28;35;85;92;204;0,2;7,9;1017;0,0;71,4;29;95;2,5;0,59;63;46
26.02.2021 00:51;15;28;35;85;94;202;0,3;7,9;1017;0,0;71,8;30;95;2,9;0,61;75;47
26.02.2021 00:54;15;28;35;84;95;200;0,3;7,8;1017;0,0;72,0;29;94;2,8;0,55;63;46
26.02.2021 00:57;15;28;35;86;96;200;0,3;7,7;1017;0,0;72,3;29;98;2,5;0,53;94;62
26.02.2021 01:00;15;27;35;85;96;202;0,1;7,6;1017;0,0;72,5;29;97;2,5;0,54;68;52
26.02.2021 01:03;15;27;35;85;94;201;0,0;7,6;1017;0,0;72,7;29;95;2,6;0,57;62;45
26.02.2021 01:06;15;28;35;85;91;198;0,2;7,6;1017;0,0;72,9;29;98;2,6;0,57;84;48
26.02.2021 01:09;15;28;35;86;91;198;0,3;7,5;1017;0,0;72,9;31;108;2,7;0,50;66;48
26.02.2021 01:12;15;28;35;86;88;199;0,3;7,5;1017;0,0;73,1;29;98;2,7;0,55;63;46
26.02.2021 01:15;15;28;35;85;87;202;0,3;7,5;1017;0,0;73,2;28;93;2,5;0,56;56;43
26.02.2021 01:18;15;28;35;86;87;200;0,3;7,5;1017;0,0;73,3;28;92;2,5;0,58;65;44
26.02.2021 01:21;15;28;35;85;88;199;0,3;7,5;1017;0,0;73,5;27;91;2,4;0,55;59;42
26.02.2021 01:24;15;29;35;87;87;200;0,3;7,4;1017;0,0;73,7;27;91;2,4;0,59;64;43
26.02.2021 01:27;15;30;35;87;87;205;0,1;7,4;1017;0,0;74,0;27;90;2,4;0,56;53;40
26.02.2021 01:30;15;30;35;86;91;210;0,1;7,4;1017;0,0;74,2;27;90;2,3;0,55;49;39
26.02.2021 01:33;15;31;35;86;92;334;0,0;7,4;1017;0,0;74,4;27;89;2,2;0,53;47;41
26.02.2021 01:36;15;31;35;86;92;214;0,2;7,3;1017;0,0;74,5;27;89;2,2;0,56;55;40
26.02.2021 01:39;15;31;36;87;93;209;0,3;7,3;1017;0,0;74,6;27;89;2,3;0,53;47;40
26.02.2021 01:42;15;31;36;86;95;208;0,3;7,3;1017;0,0;74,6;27;89;2,2;0,53;47;40
26.02.2021 01:45;15;31;36;86;93;209;0,2;7,4;1017;0,0;74,7;27;90;2,3;0,54;46;39
26.02.2021 01:48;15;31;36;86;93;316;0,0;7,4;1017;0,0;74,7;27;92;2,4;0,55;54;40
26.02.2021 01:51;15;30;36;85;94;0;0,0;7,3;1017;0,0;74,6;27;91;2,3;0,56;64;42
26.02.2021 01:54;15;30;36;85;94;0;0,0;7,3;1017;0,0;74,5;27;90;2,3;0,53;50;39
26.02.2021 01:57;15;30;36;84;94;341;0,0;7,3;1017;0,0;74,5;26;90;2,2;0,54;48;38
26.02.2021 02:00;15;30;36;84;93;250;0,1;7,3;1017;0,0;74,4;27;91;2,2;0,51;48;41
26.02.2021 02:03;15;30;36;84;93;242;0,3;7,4;1017;0,0;74,2;28;95;2,2;0,48;45;41
26.02.2021 02:06;15;30;36;84;93;238;0,1;7,5;1017;0,0;74,0;27;93;2,3;0,48;50;40
26.02.2021 02:09;15;29;35;83;92;231;0,2;7,4;1017;0,0;73,7;26;90;2,2;0,47;41;38
26.02.2021 02:12;15;29;35;83;90;254;0,2;7,4;1017;0,0;73,7;26;92;2,2;0,45;40;40
26.02.2021 02:15;15;29;35;82;90;331;0,3;7,4;1017;0,0;73,7;26;92;2,3;0,47;37;39
