Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
19.11.2020 00:30;19;15;21;19;27;200;0.4;5.9;1010;0.0;87.8;22;36;3.3;0.60;83;26
19.11.2020 00:33;19;15;21;19;27;199;0.5;5.9;1010;0.0;87.8;22;37;3.4;0.59;65;24
19.11.2020 00:36;19;15;21;19;27;200;0.4;5.8;1010;0.0;87.8;22;37;3.3;0.56;58;24
19.11.2020 00:39;19;15;21;19;27;207;0.1;5.8;1009;0.0;87.9;22;36;3.2;0.57;59;23
19.11.2020 00:42;19;15;21;19;27;356;0.0;5.8;1009;0.0;87.9;22;36;3.1;0.55;55;23
19.11.2020 00:45;19;15;21;19;27;262;0.0;5.8;1009;0.0;87.8;21;35;3.0;0.53;50;22
19.11.2020 00:48;18;15;21;19;26;209;0.3;5.8;1009;0.0;87.8;21;34;3.0;0.54;51;20
19.11.2020 00:51;18;14;21;29;26;204;0.4;5.8;1009;0.0;87.9;21;34;2.9;0.53;46;21
19.11.2020 00:54;18;14;21;29;26;208;0.4;5.8;1009;0.0;88.0;21;34;2.9;0.51;43;23
19.11.2020 00:57;18;15;21;29;26;209;0.3;5.9;1009;0.0;88.0;21;34;2.8;0.53;54;24
19.11.2020 01:00;18;14;20;29;25;211;0.0;5.9;1009;0.0;88.0;21;34;2.9;0.54;52;25
19.11.2020 01:03;18;14;20;29;26;208;0.0;5.8;1009;0.0;88.0;20;34;2.8;0.54;46;22
19.11.2020 01:06;18;14;20;28;27;214;0.0;5.8;1009;0.0;88.0;20;34;2.8;0.53;46;24
19.11.2020 01:09;18;14;20;28;27;300;0.0;5.7;1009;0.0;88.0;21;34;2.8;0.53;59;25
19.11.2020 01:12;18;14;20;29;27;0;0.0;5.7;1009;0.0;88.0;20;33;2.8;0.52;50;23
19.11.2020 01:15;18;14;20;29;27;0;0.0;5.6;1009;0.0;88.0;20;32;2.7;0.51;43;21
19.11.2020 01:18;18;15;20;29;27;235;0.0;5.6;1009;0.0;88.0;20;32;2.6;0.51;43;20
19.11.2020 01:21;18;15;21;30;27;283;0.0;5.6;1009;0.0;88.0;20;32;2.7;0.53;48;21
19.11.2020 01:24;18;15;21;29;27;225;0.0;5.6;1009;0.0;88.1;20;32;2.7;0.53;44;21
19.11.2020 01:27;19;14;21;30;27;219;0.2;5.7;1009;0.0;88.1;20;32;2.8;0.52;43;21
19.11.2020 01:30;19;14;21;29;27;212;0.1;5.7;1009;0.0;88.2;20;33;2.7;0.52;43;24
19.11.2020 01:33;19;14;21;29;27;297;0.1;5.7;1009;0.0;88.2;20;33;2.7;0.51;46;24
19.11.2020 01:36;19;14;21;29;27;348;0.0;5.7;1009;0.0;88.2;20;33;2.8;0.51;58;25
19.11.2020 01:39;18;14;21;28;27;223;0.3;5.7;1009;0.0;88.1;20;33;3.0;0.53;51;22
19.11.2020 01:42;18;14;21;29;28;218;0.3;5.7;1009;0.0;88.2;20;33;2.8;0.51;49;25
19.11.2020 01:45;18;14;21;29;28;212;0.3;5.7;1009;0.0;88.2;20;33;2.7;0.51;48;24
19.11.2020 01:48;18;14;20;28;29;212;0.0;5.7;1009;0.0;88.2;19;32;2.6;0.50;43;21
19.11.2020 01:51;18;14;20;28;28;209;0.1;5.7;1009;0.0;88.2;19;32;2.7;0.49;44;20
19.11.2020 01:54;18;14;20;28;26;209;0.2;5.7;1009;0.0;88.2;19;32;2.7;0.50;45;20
19.11.2020 01:57;17;14;20;28;25;214;0.0;5.7;1009;0.0;88.2;19;31;2.7;0.50;42;21
19.11.2020 02:00;17;14;19;27;25;225;0.0;5.6;1009;0.0;88.2;19;31;2.7;0.49;41;21
19.11.2020 02:03;17;13;19;27;24;274;0.0;5.6;1009;0.0;88.1;19;30;2.7;0.50;43;21
19.11.2020 02:06;17;13;19;27;25;208;0.0;5.6;1009;0.0;88.2;19;30;2.7;0.51;76;20
19.11.2020 02:09;17;13;19;27;26;208;0.0;5.6;1009;0.0;88.2;18;30;2.8;0.50;53;21
19.11.2020 02:12;17;13;19;26;26;215;0.0;5.6;1009;0.0;88.2;19;31;2.9;0.51;45;20
19.11.2020 02:15;16;13;19;26;25;214;0.0;5.6;1008;0.0;88.2;19;32;2.9;0.50;45;19
