Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
16.11.2020 00:30;1;1;2;16;4;211;0.4;13.0;997;0.0;75.8;6;7;0.2;0.17;0;1
16.11.2020 00:33;1;1;2;16;4;325;0.3;12.9;997;0.0;75.8;6;8;0.1;0.17;0;2
16.11.2020 00:36;1;2;2;16;4;0;0.2;12.9;997;0.0;75.8;6;9;0.1;0.17;0;2
16.11.2020 00:39;1;2;2;16;5;0;0.0;12.9;997;0.0;75.8;6;8;0.2;0.17;-1;1
16.11.2020 00:42;2;2;3;16;5;0;0.3;12.8;998;0.0;75.7;6;8;0.1;0.16;-1;-1
16.11.2020 00:45;2;3;3;16;5;0;0.4;12.8;998;0.0;75.5;6;8;0.1;0.19;3;3
16.11.2020 00:48;2;3;3;16;5;0;0.4;12.8;998;0.0;75.4;6;8;0.2;0.18;4;5
16.11.2020 00:51;2;3;3;16;5;0;0.4;12.8;998;0.0;75.2;6;8;0.1;0.16;2;5
16.11.2020 00:54;2;3;3;16;5;0;0.2;12.8;998;0.0;75.1;6;8;0.1;0.16;-1;1
16.11.2020 00:57;2;3;3;15;6;0;0.0;12.7;998;0.0;75.1;6;8;0.1;0.17;2;4
16.11.2020 01:00;2;3;3;15;6;0;0.0;12.7;998;0.0;75.1;6;8;0.1;0.18;1;5
16.11.2020 01:03;2;3;3;15;5;0;0.0;12.7;998;0.0;75.1;6;8;0.1;0.15;1;3
16.11.2020 01:06;2;2;3;15;5;0;0.0;12.7;998;0.0;75.3;6;8;0.1;0.17;12;20
16.11.2020 01:09;2;3;3;15;5;0;0.0;12.7;998;0.0;75.5;6;8;0.1;0.19;3;5
16.11.2020 01:12;2;3;3;15;4;0;0.0;12.7;998;0.0;75.8;6;8;0.1;0.17;5;9
16.11.2020 01:15;2;3;3;15;4;0;0.2;12.7;998;0.0;75.9;6;8;0.2;0.20;0;3
16.11.2020 01:18;2;3;3;15;4;342;0.4;12.6;998;0.0;75.7;6;8;0.2;0.17;-1;1
16.11.2020 01:21;2;3;3;15;4;288;0.5;12.6;998;0.0;75.2;6;9;0.1;0.17;0;0
16.11.2020 01:24;2;3;3;15;5;297;0.6;12.6;998;0.0;74.2;6;9;0.1;0.17;0;0
16.11.2020 01:27;2;3;3;15;5;296;0.6;12.7;998;0.0;73.1;5;9;0.1;0.16;0;1
16.11.2020 01:30;2;3;3;15;6;277;0.5;12.7;998;0.0;72.0;5;9;0.1;0.17;0;0
16.11.2020 01:33;2;3;3;15;6;263;0.4;12.7;998;0.0;71.3;5;9;0.1;0.16;0;1
16.11.2020 01:36;2;3;3;15;7;355;0.3;12.7;998;0.0;70.8;5;9;0.1;0.18;19;14
16.11.2020 01:39;2;3;3;15;7;0;0.3;12.6;998;0.0;70.7;5;9;0.1;0.16;0;2
16.11.2020 01:42;2;3;3;14;7;341;0.4;12.5;998;0.0;70.9;5;9;0.1;0.16;5;5
16.11.2020 01:45;2;3;3;16;6;257;0.7;12.5;998;0.0;71.1;5;9;0.2;0.18;3;4
16.11.2020 01:48;2;3;3;14;7;287;0.9;12.5;998;0.0;70.8;5;9;0.2;0.16;0;1
16.11.2020 01:51;2;3;4;14;8;302;1.0;12.5;999;0.0;70.0;5;9;0.2;0.17;0;0
16.11.2020 01:54;2;3;4;14;10;308;0.9;12.5;999;0.0;68.7;5;10;0.1;0.16;-1;0
16.11.2020 01:57;2;4;4;14;11;308;0.8;12.5;999;0.0;67.7;5;11;0.0;0.16;-1;0
16.11.2020 02:00;2;4;5;14;12;315;0.8;12.5;999;0.0;66.8;5;11;0.0;0.17;0;0
16.11.2020 02:03;2;4;5;14;12;318;0.7;12.4;999;0.0;66.1;5;11;0.1;0.17;0;1
16.11.2020 02:06;2;4;5;14;11;314;0.8;12.4;999;0.0;65.6;5;11;0.1;0.16;0;1
16.11.2020 02:09;2;4;5;14;10;310;0.8;12.4;999;0.0;65.3;5;11;0.1;0.16;0;1
16.11.2020 02:12;2;4;5;14;9;305;0.8;12.4;999;0.0;65.0;5;11;0.1;0.17;-1;1
16.11.2020 02:15;2;4;5;14;10;306;0.7;12.3;999;0.0;65.0;5;11;0.1;0.16;-1;0
16.11.2020 02:18;2;4;5;14;10;298;0.5;12.3;999;0.0;65.2;5;11;0.1;0.16;0;1
16.11.2020 02:21;2;4;5;14;11;295;0.4;12.2;999;0.0;65.5;5;11;0.1;0.17;-1;2
16.11.2020 02:24;2;4;5;14;10;283;0.4;12.1;999;0.0;65.9;5;11;0.1;0.17;0;4
16.11.2020 02:27;2;4;5;14;10;300;0.4;12.0;999;0.0;66.2;5;11;0.1;0.16;-1;2
16.11.2020 02:30;2;4;5;14;10;313;0.4;11.9;999;0.0;66.3;5;11;0.1;0.16;0;0
16.11.2020 02:33;2;4;5;14;9;318;0.5;11.9;999;0.0;66.5;5;11;0.1;0.17;0;-1
16.11.2020 02:36;2;4;5;13;9;316;0.5;11.9;999;0.0;66.8;5;11;0.1;0.18;6;7
16.11.2020 02:39;2;4;5;13;9;311;0.5;11.8;999;0.0;67.0;5;11;0.1;0.16;-1;0
16.11.2020 02:42;2;4;5;13;9;310;0.5;11.8;999;0.0;67.3;5;11;0.1;0.16;-1;0
16.11.2020 02:45;2;4;5;13;8;310;0.5;11.7;999;0.0;67.5;5;11;0.1;0.17;-1;0
16.11.2020 02:48;2;4;5;13;8;306;0.5;11.6;999;0.0;67.6;5;11;0.1;0.17;-1;-1
16.11.2020 02:51;2;4;5;13;8;334;0.4;11.6;999;0.0;67.6;5;11;0.1;0.16;-1;0
16.11.2020 02:54;2;4;5;13;8;0;0.2;11.6;999;0.0;67.7;5;11;0.1;0.14;0;0
16.11.2020 02:57;2;4;5;13;8;0;0.0;11.5;999;0.0;67.7;5;11;0.0;4.94;1;-1
16.11.2020 03:00;2;4;5;13;9;0;0.0;11.5;999;0.0;67.9;5;11;0.1;25.39;12;12
16.11.2020 03:03;2;4;5;13;8;0;0.0;11.4;999;0.0;68.2;5;11;0.1;0.16;286;438
16.11.2020 03:06;2;4;5;13;9;0;0.0;11.3;1000;0.0;68.5;5;12;0.1;0.15;297;478
16.11.2020 03:09;2;4;5;13;9;0;0.0;11.3;1000;0.0;68.8;5;12;0.0;0.16;21;49
16.11.2020 03:12;2;4;5;13;9;0;0.1;11.3;1000;0.0;68.8;5;12;0.1;0.16;0;1
16.11.2020 03:15;2;5;5;13;9;329;0.3;11.3;1000;0.0;68.7;5;12;0.1;0.17;1;3
16.11.2020 03:18;2;4;5;13;10;355;0.2;11.4;1000;0.0;68.6;5;13;0.5;0.19;8;12
16.11.2020 03:21;2;4;5;13;9;0;0.1;11.4;1000;0.0;68.5;5;12;0.9;0.16;0;4
16.11.2020 03:24;2;5;5;13;9;0;0.1;11.4;1000;0.0;68.5;5;12;0.1;0.16;0;1
16.11.2020 03:27;2;5;5;13;8;0;0.3;11.5;1000;0.0;68.6;5;12;0.1;0.17;-1;2
16.11.2020 03:30;2;5;5;13;8;0;0.4;11.5;1000;0.0;68.8;5;12;0.1;0.16;-1;0
16.11.2020 03:33;2;5;5;13;8;0;0.4;11.5;1000;0.0;69.0;5;13;0.1;0.16;14;14
16.11.2020 03:36;2;5;5;13;9;346;0.4;11.6;1000;0.0;69.0;5;13;0.1;0.16;2;7
16.11.2020 03:39;2;5;5;13;10;291;0.4;11.6;1000;0.0;68.8;5;13;0.1;0.16;0;1
16.11.2020 03:42;2;5;5;13;10;287;0.4;11.7;1000;0.0;68.7;5;13;0.1;0.16;-1;0
16.11.2020 03:45;2;5;5;13;10;294;0.4;11.7;1000;0.0;68.6;6;13;0.1;0.16;1;2
16.11.2020 03:48;3;5;5;13;10;295;0.4;11.7;1000;0.0;68.6;6;13;0.1;0.16;0;0
16.11.2020 03:51;2;5;5;13;10;302;0.4;11.7;1000;0.0;68.7;5;13;0.1;0.17;0;1
16.11.2020 03:54;3;5;5;13;10;304;0.4;11.7;1000;0.0;68.8;5;13;0.1;0.19;1;2
16.11.2020 03:57;3;5;5;13;10;307;0.4;11.7;1000;0.0;68.9;5;13;0.1;0.16;0;1
16.11.2020 04:00;3;5;5;13;10;315;0.4;11.7;1000;0.0;68.9;5;13;0.1;0.17;0;3
16.11.2020 04:03;3;5;5;13;10;0;0.3;11.7;1000;0.0;68.8;5;13;0.1;0.16;-1;1
16.11.2020 04:06;3;5;5;13;10;0;0.3;11.7;1000;0.0;68.8;5;13;0.1;0.17;0;1
16.11.2020 04:09;3;5;5;13;10;0;0.1;11.7;1000;0.0;68.8;5;13;0.1;0.17;4;2
16.11.2020 04:12;3;5;5;13;9;0;0.0;11.6;1000;0.0;68.9;5;13;0.1;0.16;3;4
16.11.2020 04:15;3;5;5;13;9;0;0.1;11.6;1000;0.0;69.1;5;13;0.1;0.18;0;0
16.11.2020 04:18;3;5;5;13;10;186;0.3;11.5;1000;0.0;69.2;5;13;0.0;0.21;1;3
16.11.2020 04:21;3;5;5;13;10;189;0.3;11.5;1000;0.0;69.3;5;14;0.1;0.17;3;7
16.11.2020 04:24;3;6;6;13;10;203;0.4;11.6;1000;0.0;69.4;5;14;0.1;0.17;1;4
16.11.2020 04:27;3;5;6;13;10;0;0.3;11.5;1000;0.0;69.6;5;14;0.1;0.18;6;10
16.11.2020 04:30;3;6;6;13;10;0;0.3;11.5;1000;0.0;69.8;5;14;0.1;0.18;-1;3
16.11.2020 04:33;3;5;6;13;10;0;0.4;11.5;1000;0.0;70.0;5;14;0.2;0.19;3;4
16.11.2020 04:36;3;6;6;13;10;0;0.4;11.5;1000;0.0;70.2;5;14;0.1;0.19;0;2
16.11.2020 04:39;3;6;6;13;10;0;0.5;11.5;1000;0.0;70.3;5;14;0.2;0.19;1;1
16.11.2020 04:42;3;6;6;13;11;347;0.4;11.5;1000;0.0;70.4;5;14;0.1;0.19;1;2
16.11.2020 04:45;3;6;6;13;11;269;0.5;11.6;1000;0.0;70.3;5;14;0.1;0.17;-1;0
16.11.2020 04:48;3;6;6;13;11;255;0.5;11.6;1000;0.0;70.2;5;14;0.1;0.18;0;0
16.11.2020 04:51;3;6;6;13;11;235;0.6;11.5;1000;0.0;70.3;6;15;0.1;0.17;5;6
16.11.2020 04:54;3;6;6;13;11;217;0.6;11.5;1000;0.0;70.4;5;14;0.1;0.17;0;1
16.11.2020 04:57;3;6;6;13;11;216;0.6;11.5;1000;0.0;70.6;6;15;0.1;0.18;0;1
16.11.2020 05:00;3;6;6;13;11;247;0.7;11.5;1000;0.0;70.7;5;15;0.1;0.19;1;5
16.11.2020 05:03;3;6;6;13;11;266;0.7;11.5;1000;0.0;70.8;6;15;0.1;0.19;2;4
16.11.2020 05:06;3;6;6;13;12;296;0.6;11.5;1000;0.0;70.9;6;16;0.1;0.18;3;9
16.11.2020 05:09;3;6;6;13;12;326;0.5;11.5;1000;0.0;71.1;6;14;0.1;0.19;1;4
16.11.2020 05:12;3;6;6;13;11;352;0.4;11.5;1000;0.0;71.2;6;14;0.1;0.19;5;9
16.11.2020 05:15;3;6;6;13;11;0;0.5;11.5;1001;0.0;71.4;6;14;0.1;0.19;30;22
16.11.2020 05:18;3;6;6;13;11;290;0.6;11.5;1001;0.0;71.5;6;15;0.2;0.19;6;11
16.11.2020 05:21;3;6;6;13;10;286;0.7;11.5;1001;0.0;71.7;6;15;0.6;0.19;4;6
16.11.2020 05:24;3;6;6;13;10;283;0.8;11.5;1001;0.0;72.0;5;15;0.3;0.19;6;11
16.11.2020 05:27;3;6;6;13;11;288;0.8;11.5;1001;0.0;72.2;6;15;0.3;0.18;8;17
16.11.2020 05:30;3;6;6;13;11;281;0.7;11.5;1001;0.0;72.4;6;15;0.3;0.18;8;15
16.11.2020 05:33;3;6;6;13;10;274;0.7;11.5;1001;0.0;72.6;6;15;0.2;0.19;9;12
16.11.2020 05:36;3;6;6;13;11;260;0.6;11.5;1001;0.0;72.8;6;15;0.4;0.21;10;16
16.11.2020 05:39;3;6;6;13;10;273;0.6;11.4;1001;0.0;73.0;6;15;0.2;0.19;3;9
16.11.2020 05:42;3;6;6;13;10;284;0.6;11.3;1001;0.0;73.4;6;16;0.1;0.19;9;12
16.11.2020 05:45;3;6;6;13;11;296;0.6;11.2;1001;0.0;73.8;6;16;0.2;0.26;13;15
16.11.2020 05:48;3;6;6;13;11;300;0.6;11.1;1001;0.0;74.2;6;16;0.2;0.20;1;5
16.11.2020 05:51;3;6;6;13;10;301;0.6;11.1;1001;0.0;74.7;6;16;0.1;0.22;4;6
16.11.2020 05:54;3;6;6;13;11;297;0.7;11.0;1001;0.0;75.0;6;17;0.1;0.21;6;8
16.11.2020 05:57;3;6;6;13;11;303;0.6;10.9;1001;0.0;75.3;6;19;0.1;0.23;4;7
16.11.2020 06:00;3;6;6;13;10;298;0.6;10.9;1001;0.0;75.5;6;18;0.2;0.21;3;9
16.11.2020 06:03;3;6;6;13;10;330;0.5;10.8;1001;0.0;75.8;6;21;2.8;0.20;21;16
16.11.2020 06:06;3;6;6;13;10;299;0.5;10.8;1001;0.0;76.0;6;19;1.3;0.19;8;15
16.11.2020 06:09;3;6;6;13;10;295;0.5;10.7;1001;0.0;76.2;6;20;0.5;0.35;13;19
