Zeitpunkt;Z_PM1;Z_PM25;Z_PM25_APDA;Z_PM10;Z_PM10_APDA;Z_PM_WR;Z_PM_WG;Z_PM_Temp;Z_PM_pL;Z_PM_Nieder;Z_PM_rF;P_PM25;P_PM10;P_Ru;P_CO;P_NO;P_NO2
21.11.2020 00:30;15;17;17;29;20;208;0.3;2.7;1025;0.0;86.0;16;31;3.1;0.60;46;35
21.11.2020 00:33;16;19;17;30;20;203;0.4;2.6;1025;0.0;86.1;16;32;3.1;0.62;49;33
21.11.2020 00:36;16;20;18;32;20;198;0.4;2.5;1025;0.0;86.1;16;32;3.2;0.62;47;34
21.11.2020 00:39;17;21;18;33;20;198;0.5;2.5;1025;0.0;86.3;16;31;3.2;0.62;46;32
21.11.2020 00:42;17;20;19;32;21;199;0.4;2.5;1025;0.0;86.3;16;31;3.1;0.60;46;31
21.11.2020 00:45;17;20;19;31;22;206;0.2;2.4;1025;0.0;86.3;16;31;3.1;0.62;57;32
21.11.2020 00:48;18;20;19;31;22;331;0.0;2.3;1025;0.0;86.3;16;32;3.2;0.61;53;33
21.11.2020 00:51;18;20;19;30;23;0;0.0;2.2;1025;0.0;86.3;16;33;3.2;0.65;57;34
21.11.2020 00:54;17;20;19;31;23;0;0.0;2.1;1025;0.0;86.4;18;33;3.4;0.64;68;35
21.11.2020 00:57;17;20;19;30;23;210;0.1;2.0;1025;0.0;86.4;18;33;3.3;0.61;56;36
21.11.2020 01:00;17;19;19;30;23;203;0.3;2.0;1025;0.0;86.4;18;33;3.3;0.62;61;39
21.11.2020 01:03;17;19;19;30;22;203;0.3;2.0;1025;0.0;86.4;19;33;3.5;0.68;49;33
21.11.2020 01:06;17;19;19;29;23;203;0.3;2.0;1025;0.0;86.5;19;35;3.7;0.66;49;32
21.11.2020 01:09;17;19;19;29;22;203;0.3;2.1;1025;0.0;86.5;19;35;3.8;0.63;98;37
21.11.2020 01:12;16;20;18;29;22;202;0.3;2.0;1025;0.0;86.5;19;35;3.4;0.63;75;38
21.11.2020 01:15;16;21;18;30;22;202;0.4;2.0;1025;0.0;86.5;19;34;3.4;0.61;75;37
21.11.2020 01:18;16;21;18;29;22;202;0.4;2.0;1025;0.0;86.5;19;34;3.2;0.60;42;35
21.11.2020 01:21;16;21;18;29;22;202;0.4;1.9;1025;0.0;86.6;19;35;3.2;0.60;37;32
21.11.2020 01:24;16;20;18;28;22;204;0.3;1.9;1025;0.0;86.7;19;35;3.4;0.60;43;31
21.11.2020 01:27;16;21;18;29;21;225;0.0;1.9;1025;0.0;86.7;19;35;3.5;0.57;48;35
21.11.2020 01:30;16;21;18;29;21;0;0.0;1.9;1025;0.0;86.8;18;34;3.0;0.52;35;36
21.11.2020 01:33;16;21;18;30;21;257;0.1;1.8;1025;0.0;86.9;19;34;2.8;0.56;29;36
21.11.2020 01:36;16;21;18;29;22;272;0.3;1.9;1025;0.0;87.1;19;35;2.7;0.48;35;40
21.11.2020 01:39;16;21;18;29;22;291;0.5;2.2;1025;0.0;87.3;20;35;2.5;0.47;28;36
21.11.2020 01:42;16;20;18;29;22;293;0.4;2.4;1025;0.0;87.4;20;35;2.5;0.45;25;36
21.11.2020 01:45;16;21;18;30;22;357;0.3;2.6;1025;0.0;87.4;19;35;2.4;0.44;24;35
21.11.2020 01:48;16;21;18;31;22;307;0.3;2.6;1025;0.0;87.2;19;36;2.3;0.43;31;34
21.11.2020 01:51;15;21;17;33;21;289;0.3;2.7;1025;0.0;87.2;18;34;2.5;0.42;28;34
21.11.2020 01:54;15;21;17;32;21;297;0.4;2.7;1025;0.0;87.2;16;31;2.3;0.41;23;35
21.11.2020 01:57;15;20;17;32;20;306;0.3;2.7;1025;0.0;87.3;16;31;2.0;0.41;19;33
21.11.2020 02:00;15;19;17;32;19;272;0.3;2.7;1025;0.0;87.2;16;30;2.0;0.41;20;32
21.11.2020 02:03;15;18;16;31;19;211;0.3;2.6;1025;0.0;87.2;16;29;1.9;0.44;24;32
21.11.2020 02:06;14;17;16;30;18;202;0.3;2.6;1025;0.0;87.2;15;29;1.9;0.42;28;32
21.11.2020 02:09;14;15;15;29;17;200;0.3;2.5;1025;0.0;87.2;15;28;1.8;0.38;18;31
21.11.2020 02:12;13;13;15;27;16;195;0.4;2.5;1025;0.0;87.2;15;27;1.9;0.41;25;30
21.11.2020 02:15;13;12;14;25;16;193;0.4;2.3;1025;0.0;87.3;15;27;1.9;0.43;24;30
21.11.2020 02:18;12;12;13;23;15;195;0.4;2.2;1024;0.0;87.3;14;26;1.8;0.39;17;30
21.11.2020 02:21;12;12;13;23;14;200;0.2;2.1;1024;0.0;87.4;14;26;1.7;0.40;15;30
21.11.2020 02:24;12;12;12;22;13;310;0.0;2.0;1024;0.0;87.5;15;25;1.7;0.39;14;30
21.11.2020 02:27;11;12;12;22;13;0;0.0;1.9;1024;0.0;87.6;15;25;1.7;0.40;14;30
21.11.2020 02:30;11;13;12;22;13;256;0.0;1.8;1025;0.0;87.6;15;26;1.7;0.40;19;30
21.11.2020 02:33;11;14;12;22;12;203;0.1;1.7;1025;0.0;87.7;15;26;1.8;0.40;17;29
21.11.2020 02:36;11;15;12;22;12;201;0.3;1.6;1025;0.0;87.8;15;26;1.8;0.39;14;29
21.11.2020 02:39;11;15;12;21;13;203;0.2;1.6;1025;0.0;87.9;15;26;1.8;0.40;19;30
21.11.2020 02:42;11;15;12;21;13;297;0.0;1.5;1024;0.0;87.9;15;26;1.9;0.40;15;29
21.11.2020 02:45;11;15;12;20;13;353;0.0;1.4;1024;0.0;88.0;15;27;1.8;0.40;15;28
21.11.2020 02:48;11;14;12;19;13;203;0.2;1.3;1024;0.0;88.0;15;27;1.8;0.41;16;30
21.11.2020 02:51;11;14;12;19;13;202;0.3;1.3;1024;0.0;88.1;15;27;1.8;0.40;15;29
21.11.2020 02:54;11;14;11;19;12;203;0.3;1.3;1025;0.0;88.2;15;27;1.9;0.40;12;29
21.11.2020 02:57;11;14;11;19;12;217;0.0;1.3;1025;0.0;88.2;15;27;1.9;0.39;15;29
21.11.2020 03:00;11;14;11;19;12;0;0.0;1.3;1025;0.0;88.2;15;27;1.9;0.39;14;30
21.11.2020 03:03;11;14;11;18;12;0;0.0;1.2;1025;0.0;88.2;15;26;1.8;0.43;15;28
21.11.2020 03:06;11;14;11;18;12;255;0.1;1.2;1025;0.0;88.2;15;26;1.9;0.40;16;29
21.11.2020 03:09;11;14;11;18;12;194;0.3;1.3;1025;0.0;88.3;15;26;1.9;0.39;17;27
